time_key,hour,minute,time_of_day_band,is_business_hour
1531,15,31,afternoon,TRUE
1532,15,32,afternoon,TRUE
1533,15,33,afternoon,TRUE
1534,15,34,afternoon,TRUE
1535,15,35,afternoon,TRUE
1536,15,36,afternoon,TRUE
1537,15,37,afternoon,TRUE
1538,15,38,afternoon,TRUE
1539,15,39,afternoon,TRUE
1540,15,40,afternoon,TRUE
1541,15,41,afternoon,TRUE
1542,15,42,afternoon,TRUE
1543,15,43,afternoon,TRUE
1544,15,44,afternoon,TRUE
1545,15,45,afternoon,TRUE
1546,15,46,afternoon,TRUE
1547,15,47,afternoon,TRUE
1548,15,48,afternoon,TRUE
1549,15,49,afternoon,TRUE
1550,15,50,afternoon,TRUE
1551,15,51,afternoon,TRUE
1552,15,52,afternoon,TRUE
1553,15,53,afternoon,TRUE
1554,15,54,afternoon,TRUE
1555,15,55,afternoon,TRUE
1556,15,56,afternoon,TRUE
